Russian,English,icon_url,license_description,attribution
японец,Japanese,https://static.thenounproject.com/png/24875-200.png,creative-commons-attribution,japanese by Slawek Jurczyk from Noun Project
плакат,"poster, placard",https://static.thenounproject.com/png/2167-200.png,creative-commons-attribution,Poster by Deadtype from Noun Project
понедельник,Monday,https://static.thenounproject.com/png/656208-200.png,creative-commons-attribution,monday by Christopher Rudnick from Noun Project
Польша,Poland,https://static.thenounproject.com/png/5538-200.png,creative-commons-attribution,Poland by Olivier Guin from Noun Project
конфета,"piece of candy, candy, sweets",https://static.thenounproject.com/png/73946-200.png,creative-commons-attribution,candy by Norbert Kucsera from Noun Project
религия,religion,https://static.thenounproject.com/png/2353-200.png,creative-commons-attribution,Religion by Renee Ramsey-Passmore from Noun Project
груша,pear,https://static.thenounproject.com/png/651-200.png,creative-commons-attribution,Pear by Edward Boatman from Noun Project
неправда,"untruth, lie",https://static.thenounproject.com/png/2947941-200.png,creative-commons-attribution,Lie by Pavel Melnikov from Noun Project
регион,region,https://static.thenounproject.com/png/402066-200.png,creative-commons-attribution,region by Yu luck from Noun Project
ссылка,"link, reference",https://static.thenounproject.com/png/1660-200.png,creative-commons-attribution,link by Andrew Fortnum from Noun Project
мед,honey,https://static.thenounproject.com/png/11872-200.png,creative-commons-attribution,honey by Christopher T. Howlett from Noun Project
перец,pepper,https://static.thenounproject.com/png/710-200.png,creative-commons-attribution,Pepper by Edward Boatman from Noun Project
принцесса,princess,https://static.thenounproject.com/png/76302-200.png,creative-commons-attribution,princess by Blaise Sewell from Noun Project
демократ,democrat,https://static.thenounproject.com/png/26092-200.png,creative-commons-attribution,democrat by Yi Chen from Noun Project
факультет,"division, department (usually larger unit in university)",https://static.thenounproject.com/png/36410-200.png,creative-commons-attribution,division by Vicons Design from Noun Project
интернет,internet,https://static.thenounproject.com/png/3067-200.png,creative-commons-attribution,internet by Fernando Vasconcelos from Noun Project
алкоголь,alcohol,https://static.thenounproject.com/png/1716-200.png,creative-commons-attribution,alcohol by Julia Söderberg from Noun Project
актриса,actress,https://static.thenounproject.com/png/806556-200.png,creative-commons-attribution,actress by IconfactoryTeam from Noun Project
математика,"math, mathematics",https://static.thenounproject.com/png/36406-200.png,creative-commons-attribution,Math by Vicons Design from Noun Project
сыр,cheese,https://static.thenounproject.com/png/590-200.png,creative-commons-attribution,Cheese by Edward Boatman from Noun Project
учеба,studies,https://static.thenounproject.com/png/303354-200.png,creative-commons-attribution,studies by Chiara Claus from Noun Project
песенка,song,https://static.thenounproject.com/png/323184-200.png,creative-commons-attribution,song by Ivan Luiz from Noun Project
федерация,federation,https://static.thenounproject.com/png/3338098-200.png,creative-commons-attribution,federation by Sumit Saengthong from Noun Project
акцент,accent,https://static.thenounproject.com/png/914938-200.png,creative-commons-attribution,accent by Iconic from Noun Project
тигр,tiger,https://static.thenounproject.com/png/4459-200.png,creative-commons-attribution,Tiger by Allison Dominguez from Noun Project
аргумент,"argument, line of reasoning",https://static.thenounproject.com/png/9816-200.png,creative-commons-attribution,argument by A M from Noun Project
овощ,vegetable,https://static.thenounproject.com/png/114725-200.png,creative-commons-attribution,Vegetable by artworkbean from Noun Project
микрофон,microphone,https://static.thenounproject.com/png/171-200.png,creative-commons-attribution,Microphone by Edward Boatman from Noun Project
национальность,"nationality, ethnic origin",https://static.thenounproject.com/png/2085709-200.png,creative-commons-attribution,nationality by Adrien Coquet from Noun Project
подружка,"girlfriend, female friend (dim.)",https://static.thenounproject.com/png/320976-200.png,creative-commons-attribution,Girlfriend by lastspark from Noun Project
премьер,prime minister,https://static.thenounproject.com/png/3189342-200.png,creative-commons-attribution,prime minister by Wichai Wi from Noun Project
строитель,builder,https://static.thenounproject.com/png/129434-200.png,creative-commons-attribution,builder by Alexander Skowalsky from Noun Project
Африка,Africa,https://static.thenounproject.com/png/3354-200.png,creative-commons-attribution,africa by Bru Rakoto from Noun Project
психология,psychology,https://static.thenounproject.com/png/54040-200.png,creative-commons-attribution,psychology by Gilbert Bages from Noun Project
пятница,Friday,https://static.thenounproject.com/png/3971489-200.png,creative-commons-attribution,friday by Adrien Coquet from Noun Project
певец,singer,https://static.thenounproject.com/png/19445-200.png,creative-commons-attribution,singer by Hum from Noun Project
Австралия,Australia,https://static.thenounproject.com/png/22645-200.png,creative-commons-attribution,Australia by Ted Grajeda from Noun Project
Азия,Asia,https://static.thenounproject.com/png/16735-200.png,creative-commons-attribution,asia by Parallel Digital Studio from Noun Project
свитер,sweater,https://static.thenounproject.com/png/3316-200.png,creative-commons-attribution,Sweater by Maurizio Fusillo from Noun Project
пятерка,"A, grade of A, a five",https://static.thenounproject.com/png/323616-200.png,creative-commons-attribution,A by Alfredo @ IconsAlfredo.com from Noun Project
Испания,Spain,https://static.thenounproject.com/png/5537-200.png,creative-commons-attribution,spain by Olivier Guin from Noun Project
рояль,"piano, grand piano",https://static.thenounproject.com/png/378-200.png,creative-commons-attribution,Piano by Edward Boatman from Noun Project
композитор,composer,https://static.thenounproject.com/png/298473-200.png,creative-commons-attribution,composer by Magicon from Noun Project
аптека,"pharmacy, drugstore",https://static.thenounproject.com/png/314-200.png,creative-commons-attribution,Pharmacy by Edward Boatman from Noun Project
кепка,cap,https://static.thenounproject.com/png/1179-200.png,creative-commons-attribution,Cap by Olivier Guin from Noun Project
экскурсия,"excursion, tour",https://static.thenounproject.com/png/2558840-200.png,creative-commons-attribution,excursion by N.Style from Noun Project
Киев,Kiev,https://static.thenounproject.com/png/511389-200.png,creative-commons-attribution,Kiev by Anna Gajowiec from Noun Project
спортсмен,athlete,https://static.thenounproject.com/png/142071-200.png,creative-commons-attribution,Athlete by Creative Stall from Noun Project
официантка,waitress,https://static.thenounproject.com/png/155995-200.png,creative-commons-attribution,waitress by Katrine Kolström from Noun Project
полночь,midnight,https://static.thenounproject.com/png/716939-200.png,creative-commons-attribution,midnight by Made by Made from Noun Project
открытка,postcard,https://static.thenounproject.com/png/4565-200.png,creative-commons-attribution,postcard by A M from Noun Project
геолог,geologist,https://static.thenounproject.com/png/1974868-200.png,creative-commons-attribution,geologist by Grégory Montigny from Noun Project
кошелек,coin purse,https://static.thenounproject.com/png/159054-200.png,creative-commons-attribution,coin purse by Gregor Cresnar from Noun Project
словарь,dictionary,https://static.thenounproject.com/png/653775-200.png,creative-commons-attribution,dictionary by Oriol Sallés from Noun Project
физик,physicist,https://static.thenounproject.com/png/2444202-200.png,creative-commons-attribution,physicist by Made by Made from Noun Project
химия,chemistry,https://static.thenounproject.com/png/24029-200.png,creative-commons-attribution,Chemistry by Ilsur Aptukov from Noun Project
опера,opera,https://static.thenounproject.com/png/1341987-200.png,creative-commons-attribution,opera by Made from Noun Project
шахматы,chess,https://static.thenounproject.com/png/1403-200.png,creative-commons-attribution,Chess by Iconic from Noun Project
помидор,tomato,https://static.thenounproject.com/png/1375-200.png,creative-commons-attribution,tomato by Iconic from Noun Project
футбол,soccer,https://static.thenounproject.com/png/1572-200.png,creative-commons-attribution,soccer by Derek Britton from Noun Project
бизнесмен,"businessman, businessperson",https://static.thenounproject.com/png/27739-200.png,creative-commons-attribution,Businessman by Wilson Joseph from Noun Project
клиника,clinic,https://static.thenounproject.com/png/73165-200.png,creative-commons-attribution,clinic by iconsmind.com from Noun Project
география,geography,https://static.thenounproject.com/png/125146-200.png,creative-commons-attribution,Geography by artworkbean from Noun Project
календарь,calendar,https://static.thenounproject.com/png/404-200.png,creative-commons-attribution,Calendar by Edward Boatman from Noun Project
отметка,grade,https://static.thenounproject.com/png/39005-200.png,creative-commons-attribution,grade by Ben Markoch from Noun Project
джинсы,jeans,https://static.thenounproject.com/png/19385-200.png,creative-commons-attribution,jeans by Pranav Mote from Noun Project
киоск,"kiosk, booth",https://static.thenounproject.com/png/19309-200.png,creative-commons-attribution,kiosk by Luis Prado from Noun Project
итальянец,Italian,https://static.thenounproject.com/png/24874-200.png,creative-commons-attribution,Italian by Slawek Jurczyk from Noun Project
шашлык,"shish-kebab, kebab, grilled meat",https://static.thenounproject.com/png/4014-200.png,creative-commons-attribution,Shish Kebab by A M from Noun Project
расписание,"schedule, syllabus",https://static.thenounproject.com/png/111195-200.png,creative-commons-attribution,schedule by artworkbean from Noun Project
героиня,"heroine, (fictional) character",https://static.thenounproject.com/png/1126034-200.png,creative-commons-attribution,heroine by Santhoshram Ekambaram Narayanan from Noun Project
зонтик,umbrella,https://static.thenounproject.com/png/142-200.png,creative-commons-attribution,Umbrella by Edward Boatman from Noun Project
салат,"salad, lettuce",https://static.thenounproject.com/png/407-200.png,creative-commons-attribution,Salad by Edward Boatman from Noun Project
шоколад,chocolate,https://static.thenounproject.com/png/1721-200.png,creative-commons-attribution,Chocolate by Julia Söderberg from Noun Project
библия,Bible,https://static.thenounproject.com/png/6749-200.png,creative-commons-attribution,bible by Bruno Gätjens González from Noun Project
мел,chalk,https://static.thenounproject.com/png/203045-200.png,creative-commons-attribution,Chalk by Krista Quiroga from Noun Project
багаж,"luggage, baggage",https://static.thenounproject.com/png/28437-200.png,creative-commons-attribution,Luggage by Luis Prado from Noun Project
менеджер,manager,https://static.thenounproject.com/png/43248-200.png,creative-commons-attribution,manager by iconoci from Noun Project
четверг,Thursday,https://static.thenounproject.com/png/3971152-200.png,creative-commons-attribution,thursday by Adrien Coquet from Noun Project
кинотеатр,movie theater,https://static.thenounproject.com/png/68827-200.png,creative-commons-attribution,movie theater by iconsmind.com from Noun Project
химик,chemist,https://static.thenounproject.com/png/197769-200.png,creative-commons-attribution,chemist by P Thanga Vignesh from Noun Project
котлета,"burger, cutlet, meat patty",https://static.thenounproject.com/png/71698-200.png,creative-commons-attribution,Burger by Cagri Yurtbasi from Noun Project
торт,cake,https://static.thenounproject.com/png/557-200.png,creative-commons-attribution,Cake by Edward Boatman from Noun Project
зоопарк,zoo,https://static.thenounproject.com/png/79186-200.png,creative-commons-attribution,Zoo by Vicons Design from Noun Project
фотограф,photographer,https://static.thenounproject.com/png/17351-200.png,creative-commons-attribution,photographer by Eric Milet from Noun Project
вечеринка,party,https://static.thenounproject.com/png/98497-200.png,creative-commons-attribution,Party by Tommy Lau from Noun Project
шарф,scarf,https://static.thenounproject.com/png/3319-200.png,creative-commons-attribution,Scarf by Maurizio Fusillo from Noun Project
математик,mathematician,https://static.thenounproject.com/png/637859-200.png,creative-commons-attribution,mathematician by Gan Khoon Lay from Noun Project
Антарктида,Antarctica,https://static.thenounproject.com/png/22640-200.png,creative-commons-attribution,Antarctica by Ted Grajeda from Noun Project
певица,singer,https://static.thenounproject.com/png/19445-200.png,creative-commons-attribution,singer by Hum from Noun Project
поликлиника,clinic,https://static.thenounproject.com/png/73165-200.png,creative-commons-attribution,clinic by iconsmind.com from Noun Project
биолог,biologist,https://static.thenounproject.com/png/1512068-200.png,creative-commons-attribution,biologist by Georgiana Ionescu from Noun Project
миллионер,millionaire,https://static.thenounproject.com/png/620432-200.png,creative-commons-attribution,millionaire by Oksana Latysheva from Noun Project
афиша,"poster, playbill",https://static.thenounproject.com/png/2167-200.png,creative-commons-attribution,Poster by Deadtype from Noun Project
грипп,flu,https://static.thenounproject.com/png/1026070-200.png,creative-commons-attribution,flu by Llisole from Noun Project
вторник,Tuesday,https://static.thenounproject.com/png/3967536-200.png,creative-commons-attribution,tuesday by Adrien Coquet from Noun Project
балет,ballet,https://static.thenounproject.com/png/99385-200.png,creative-commons-attribution,ballet by Norbert Kucsera from Noun Project
физкультура,physical education,https://static.thenounproject.com/png/899284-200.png,creative-commons-attribution,physical education by Eucalyp from Noun Project
Рождество,Christmas,https://static.thenounproject.com/png/28333-200.png,creative-commons-attribution,Christmas by Amos Meron from Noun Project
сувенир,souvenir,https://static.thenounproject.com/png/1097912-200.png,creative-commons-attribution,souvenir by Ben Davis from Noun Project
пианино,"piano, upright piano",https://static.thenounproject.com/png/378-200.png,creative-commons-attribution,Piano by Edward Boatman from Noun Project
незнакомка,stranger,https://static.thenounproject.com/png/168599-200.png,creative-commons-attribution,stranger by Matt Wasser from Noun Project
статистика,statistics,https://static.thenounproject.com/png/5639-200.png,creative-commons-attribution,statistics by Convoy from Noun Project
аспирант,graduate student,https://static.thenounproject.com/png/49613-200.png,creative-commons-attribution,Graduate Student by Wilson Joseph from Noun Project
банан,banana,https://static.thenounproject.com/png/1676-200.png,creative-commons-attribution,banana by Anna Weiss from Noun Project
семинар,seminar,https://static.thenounproject.com/png/550268-200.png,creative-commons-attribution,Seminar by David Khai from Noun Project
программист,programmer,https://static.thenounproject.com/png/28130-200.png,creative-commons-attribution,programmer by Hadi Davodpour from Noun Project
макароны,pasta,https://static.thenounproject.com/png/28638-200.png,creative-commons-attribution,Pasta by Richard Schumann from Noun Project
шорты,shorts,https://static.thenounproject.com/png/3311-200.png,creative-commons-attribution,shorts by Maurizio Fusillo from Noun Project
насморк,"cold, runny nose",https://static.thenounproject.com/png/9931-200.png,creative-commons-attribution,Cold by Dmitry Baranovskiy from Noun Project
вилка,fork,https://static.thenounproject.com/png/2255-200.png,creative-commons-attribution,fork by Dan Christopher from Noun Project
пельмени,"dumplings, pelmeni (Siberian pelmeni) (pl only)",https://static.thenounproject.com/png/36338-200.png,creative-commons-attribution,Dumplings by gayatri from Noun Project
ролик,roller skate,https://static.thenounproject.com/png/687-200.png,creative-commons-attribution,Roller Skate by Edward Boatman from Noun Project
Пасха,"Passover, Easter",https://static.thenounproject.com/png/813281-200.png,creative-commons-attribution,Passover by Ron Scott from Noun Project
зонт,umbrella,https://static.thenounproject.com/png/142-200.png,creative-commons-attribution,Umbrella by Edward Boatman from Noun Project
сериал,series,https://static.thenounproject.com/png/647165-200.png,creative-commons-attribution,series by Federico Panzano from Noun Project
булка,"roll, white bread",https://static.thenounproject.com/png/28937-200.png,creative-commons-attribution,Roll by Sergey Krivoy from Noun Project
аспирантура,"graduate school, graduate studies",https://static.thenounproject.com/png/42375-200.png,creative-commons-attribution,Graduation Cap by Suavis from Noun Project
цент,cent,https://static.thenounproject.com/png/12964-200.png,creative-commons-attribution,Cent by Charlérik Lemieux from Noun Project
балерина,ballerina,https://static.thenounproject.com/png/330245-200.png,creative-commons-attribution,ballerina by Nikita Kozin from Noun Project
журналистка,journalist,https://static.thenounproject.com/png/535374-200.png,creative-commons-attribution,journalist by Bonegolem from Noun Project
домохозяйка,housewife,https://static.thenounproject.com/png/1174014-200.png,creative-commons-attribution,housewife by DinosoftLab from Noun Project
журналистика,journalism,https://static.thenounproject.com/png/1479165-200.png,creative-commons-attribution,journalism by Alequinho from Noun Project
испанец,Spaniard,https://static.thenounproject.com/png/132809-200.png,creative-commons-attribution,spain by Federico Panzano from Noun Project
хоккей,hockey,https://static.thenounproject.com/png/19299-200.png,creative-commons-attribution,hockey by Venkatesh A.G.E from Noun Project
школьница,school student,https://static.thenounproject.com/png/2588923-200.png,creative-commons-attribution,SCHOOL STUDENT by popcornarts from Noun Project
Голливуд,Hollywood,https://static.thenounproject.com/png/731182-200.png,creative-commons-attribution,hollywood by P Thanga Vignesh from Noun Project
партнерша,partner,https://static.thenounproject.com/png/197031-200.png,creative-commons-attribution,Partner by Amandine Vandesteene from Noun Project
бифштекс,steak,https://static.thenounproject.com/png/345-200.png,creative-commons-attribution,Steak by Edward Boatman from Noun Project
дискотека,dance club,https://static.thenounproject.com/png/77923-200.png,creative-commons-attribution,turntable by Angela Gasparetti from Noun Project
немка,German,https://static.thenounproject.com/png/24870-200.png,creative-commons-attribution,German by Slawek Jurczyk from Noun Project
кампус,campus,https://static.thenounproject.com/png/434933-200.png,creative-commons-attribution,Campus by Alfredo @ IconsAlfredo.com from Noun Project
австралиец,Australian,https://static.thenounproject.com/png/2364243-200.png,creative-commons-attribution,australian by Flatart from Noun Project
хобби,"hobby, interest",https://static.thenounproject.com/png/516822-200.png,creative-commons-attribution,hobby by Becris from Noun Project
видео,"video, video recording",https://static.thenounproject.com/png/2192-200.png,creative-commons-attribution,Video by Anas Ramadan from Noun Project
американка,American,https://static.thenounproject.com/png/589998-200.png,creative-commons-attribution,American by Hea Poh Lin from Noun Project
минус,minus,https://static.thenounproject.com/png/951-200.png,creative-commons-attribution,Minus by Andre from Noun Project
баскетбол,basketball,https://static.thenounproject.com/png/393-200.png,creative-commons-attribution,Basketball by Edward Boatman from Noun Project
волейбол,volleyball,https://static.thenounproject.com/png/2713-200.png,creative-commons-attribution,Volleyball by Gabriele Fumero from Noun Project
конфетка,piece of candy,https://static.thenounproject.com/png/73946-200.png,creative-commons-attribution,candy by Norbert Kucsera from Noun Project
француженка,"Frenchman, Frenchwoman",https://static.thenounproject.com/png/23997-200.png,creative-commons-attribution,Frenchman by Gerda More from Noun Project
горилла,gorilla,https://static.thenounproject.com/png/18886-200.png,creative-commons-attribution,Gorilla by Jinhwan Kim from Noun Project
китаянка,Chinese,https://static.thenounproject.com/png/24859-200.png,creative-commons-attribution,chinese by Slawek Jurczyk from Noun Project
гольф,golf,https://static.thenounproject.com/png/420-200.png,creative-commons-attribution,Golf by Edward Boatman from Noun Project
алгебра,algebra,https://static.thenounproject.com/png/24030-200.png,creative-commons-attribution,Algebra by Ilsur Aptukov from Noun Project
кофейня,coffeehouse,https://static.thenounproject.com/png/256226-200.png,creative-commons-attribution,Coffee Shop sign by Vectors Market from Noun Project
англичанка,"Englishman, Englishwoman",https://static.thenounproject.com/png/26181-200.png,creative-commons-attribution,Englishman by Daniel Turner from Noun Project
пицца,pizza,https://static.thenounproject.com/png/152-200.png,creative-commons-attribution,Pizza by Edward Boatman from Noun Project
футболка,"t-shirt, polo shirt, sweatshirt, jersey",https://static.thenounproject.com/png/71401-200.png,creative-commons-attribution,t-shirt by iconsmind.com from Noun Project
грамматика,grammar,https://static.thenounproject.com/png/5253-200.png,creative-commons-attribution,Grammar by Tony Gines from Noun Project
десерт,dessert,https://static.thenounproject.com/png/21989-200.png,creative-commons-attribution,Dessert by NATAPON CHANTABUTR from Noun Project
шоколадка,piece of chocolate,https://static.thenounproject.com/png/64149-200.png,creative-commons-attribution,Chocolate by Amos Kofi Commey from Noun Project
гамбургер,hamburger,https://static.thenounproject.com/png/153-200.png,creative-commons-attribution,Hamburger by Edward Boatman from Noun Project
аспирантка,graduate student,https://static.thenounproject.com/png/49613-200.png,creative-commons-attribution,Graduate Student by Wilson Joseph from Noun Project
иностранка,foreigner,https://static.thenounproject.com/png/1034015-200.png,creative-commons-attribution,foreigner by Gan Khoon Lay from Noun Project
мультфильм,"cartoon, animated film",https://static.thenounproject.com/png/403783-200.png,creative-commons-attribution,cartoon by Andreav from Noun Project
Чикаго,Chicago,https://static.thenounproject.com/png/62982-200.png,creative-commons-attribution,Chicago by Eric Bird from Noun Project
вегетарианец,vegetarian,https://static.thenounproject.com/png/8071-200.png,creative-commons-attribution,Vegetarian by Cody Foss from Noun Project
майонез,mayonnaise,https://static.thenounproject.com/png/129399-200.png,creative-commons-attribution,mayonnaise by Yazmin Alanis from Noun Project
семестр,semester,https://static.thenounproject.com/png/4349184-200.png,creative-commons-attribution,semester by Studio 365 from Noun Project
пенс,pence,https://static.thenounproject.com/png/3188353-200.png,creative-commons-attribution,pence by Hai Studio from Noun Project
Мадрид,Madrid,https://static.thenounproject.com/png/24011-200.png,creative-commons-attribution,Madrid by José Manuel Rodríguez from Noun Project
Аляска,Alaska,https://static.thenounproject.com/png/19525-200.png,creative-commons-attribution,alaska by Ted Grajeda from Noun Project
баскетболист,basketball player,https://static.thenounproject.com/png/54548-200.png,creative-commons-attribution,basketball player by Luis Prado from Noun Project
Бостон,Boston,https://static.thenounproject.com/png/164718-200.png,creative-commons-attribution,boston by Vonn Weisenberger from Noun Project
японка,Japanese,https://static.thenounproject.com/png/24875-200.png,creative-commons-attribution,japanese by Slawek Jurczyk from Noun Project
телепрограмма,"TV program, show",https://static.thenounproject.com/png/2712008-200.png,creative-commons-attribution,TV program by supalerk laipawat from Noun Project
итальянка,Italian,https://static.thenounproject.com/png/24874-200.png,creative-commons-attribution,Italian by Slawek Jurczyk from Noun Project
телесериал,TV series,https://static.thenounproject.com/png/15555-200.png,creative-commons-attribution,Television by MRFA from Noun Project
кетчуп,ketchup,https://static.thenounproject.com/png/1419-200.png,creative-commons-attribution,Ketchup by Iconic from Noun Project
альпинизм,mountain climbing,https://static.thenounproject.com/png/14893-200.png,creative-commons-attribution,Mountain Climbing by Juan Pablo Bravo from Noun Project
мультик,cartoon,https://static.thenounproject.com/png/403783-200.png,creative-commons-attribution,cartoon by Andreav from Noun Project
австралийка,Australian,https://static.thenounproject.com/png/2364243-200.png,creative-commons-attribution,australian by Flatart from Noun Project
антрополог,anthropologist,https://static.thenounproject.com/png/177920-200.png,creative-commons-attribution,Carl Gustav Jung by Dabid J. Pascual from Noun Project
веган,vegan,https://static.thenounproject.com/png/102478-200.png,creative-commons-attribution,vegan by Marvin Wilhelm from Noun Project
веганка,vegan,https://static.thenounproject.com/png/102478-200.png,creative-commons-attribution,vegan by Marvin Wilhelm from Noun Project
вегетарианка,vegetarian,https://static.thenounproject.com/png/8071-200.png,creative-commons-attribution,Vegetarian by Cody Foss from Noun Project
двоюродная сестра,cousin,https://static.thenounproject.com/png/3856881-200.png,creative-commons-attribution,cousin by WEBTECHOPS LLP from Noun Project
двоюродный брат,cousin,https://static.thenounproject.com/png/3856881-200.png,creative-commons-attribution,cousin by WEBTECHOPS LLP from Noun Project
день рождения,birthday,https://static.thenounproject.com/png/62562-200.png,creative-commons-attribution,Birthday by Yazmin Alanis from Noun Project
домашнее задание,"homework, assignment",https://static.thenounproject.com/png/202763-200.png,creative-commons-attribution,homework by Marco Galtarossa from Noun Project
домашняя работа,homework,https://static.thenounproject.com/png/202763-200.png,creative-commons-attribution,homework by Marco Galtarossa from Noun Project
Индия,India,https://static.thenounproject.com/png/3241-200.png,creative-commons-attribution,india by Vigneshwar Shankar from Noun Project
испанка,Spaniard,https://static.thenounproject.com/png/132809-200.png,creative-commons-attribution,spain by Federico Panzano from Noun Project
канадка,Canadian,https://static.thenounproject.com/png/2916911-200.png,creative-commons-attribution,canadian by WEBTECHOPS LLP from Noun Project
контрольная работа,"quiz, test",https://static.thenounproject.com/png/21610-200.png,creative-commons-attribution,quiz by Rémy Médard from Noun Project
кроссовка,"sneaker, tennis shoe, trainer",https://static.thenounproject.com/png/23279-200.png,creative-commons-attribution,Sneaker by Collectif Intro from Noun Project
медбрат,male nurse,https://static.thenounproject.com/png/878796-200.png,creative-commons-attribution,male nurse by Nook Fulloption from Noun Project
музыкальная группа,"band, musical group",https://static.thenounproject.com/png/88209-200.png,creative-commons-attribution,Band by Renee Ramsey-Passmore from Noun Project
музыкальный инструмент,musical instrument,https://static.thenounproject.com/png/1283809-200.png,creative-commons-attribution,Musical Instrument by Eucalyp from Noun Project
одногруппник,classmate,https://static.thenounproject.com/png/1828529-200.png,creative-commons-attribution,classmate by Thuy Nguyen from Noun Project
одногруппница,classmate,https://static.thenounproject.com/png/1828529-200.png,creative-commons-attribution,classmate by Thuy Nguyen from Noun Project
полка,"shelf, bunk, berth (on train)",https://static.thenounproject.com/png/35044-200.png,creative-commons-attribution,shelf by Rigo Peter from Noun Project
родной город,hometown,https://static.thenounproject.com/png/2231725-200.png,creative-commons-attribution,Hometown by WEBTECHOPS LLP from Noun Project
рок группа,"rock band, rock group",https://static.thenounproject.com/png/25326-200.png,creative-commons-attribution,Guitar by Pablo Tournelle from Noun Project
Российская Федерация,Russian Federation,https://static.thenounproject.com/png/2623804-200.png,creative-commons-attribution,russian federation by Xinh Studio from Noun Project
спортсменка,athlete,https://static.thenounproject.com/png/142071-200.png,creative-commons-attribution,Athlete by Creative Stall from Noun Project
Украина,Ukraine,https://static.thenounproject.com/png/6861-200.png,creative-commons-attribution,Ukraine by Bohdan Burmich from Noun Project
